,id,Country,Currency
0,1,Australia,Australian Dollar
1,2,Euro Area,Euro
2,3,New Zealand,New Zeland Dollar
3,4,United Kingdom,United Kingdom Pound
4,5,Brazil,Real
5,6,Canada,Canadian Dollar
6,7,China,Yuan
7,8,Hong Kong,Hong Kong Dollar
8,9,India,Indian Rupee
9,10,Korea,Won
10,11,Mexico,Mexican Peso
11,12,South Africa,Rand
12,13,Singapore,Singapore Dollar
13,14,Denmark,Danish Krone
14,15,Japan,Yen
15,16,Malaysia,Ringgit
16,17,Norway,Norwegian Krone
17,18,Sweden,Krona
18,19,Sri Lanka,Sri Lankan Rupee
19,20,Switzerland,Franc
20,21,Taiwan,New Taiwan Dollar
21,22,Thailand,Baht
